tourney_date,tourney_name,surface,best_of,round,winner_name,loser_name,comp_win_prob,sim_win_prob,blend_win_prob,elo_win_prob
2015-01-04,Brisbane,Hard,3,R32,John Millman,Rhyne Williams,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Sam Groth,Lleyton Hewitt,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Steve Johnson,Marinko Matosevic,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Bernard Tomic,Sam Querrey,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Thanasi Kokkinakis,Julien Benneteau,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Mikhail Kukushkin,Marius Copil,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Jarkko Nieminen,Denis Kudla,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Lukasz Kubot,Kevin Anderson,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Martin Klizan,Jurgen Melzer,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,Jeremy Chardy,Andrey Golubev,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R32,James Duckworth,Gilles Simon,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R16,James Duckworth,Jarkko Nieminen,0.4791,0.5246,0.5064,0.5
2015-01-04,Brisbane,Hard,3,R16,Roger Federer,John Millman,0.5412,0.4428,0.48216000000000003,0.477
2015-01-04,Brisbane,Hard,3,R32,Alexandr Dolgopolov,Carlos Berlocq,0.5,0.493,0.4958,0.5
2015-01-04,Brisbane,Hard,3,R16,Grigor Dimitrov,Jeremy Chardy,0.4825,0.4428,0.45868000000000003,0.477
2015-01-04,Brisbane,Hard,3,R16,Kei Nishikori,Steve Johnson,0.4917,0.4408,0.46116,0.477
2015-01-04,Brisbane,Hard,3,SF,Milos Raonic,Kei Nishikori,0.426,0.4428,0.43608,0.4759
2015-01-04,Brisbane,Hard,3,SF,Roger Federer,Grigor Dimitrov,0.5443,0.51,0.52372,0.5
2015-01-04,Brisbane,Hard,3,QF,Kei Nishikori,Bernard Tomic,0.5607,0.5482,0.5532,0.4769
2015-01-04,Brisbane,Hard,3,QF,Milos Raonic,Sam Groth,0.5741,0.4842,0.5201600000000001,0.5011
2015-01-04,Brisbane,Hard,3,QF,Grigor Dimitrov,Martin Klizan,0.5404,0.4626,0.49372,0.478
2015-01-04,Brisbane,Hard,3,F,Roger Federer,Milos Raonic,0.5282,0.4408,0.47576,0.5
2015-01-04,Brisbane,Hard,3,R16,Bernard Tomic,Thanasi Kokkinakis,0.5238,0.4408,0.47400000000000003,0.4759
2015-01-04,Brisbane,Hard,3,R16,Milos Raonic,Mikhail Kukushkin,0.5814,0.565,0.57156,0.5011
2015-01-04,Brisbane,Hard,3,R16,Sam Groth,Lukasz Kubot,0.5322,0.6102,0.579,0.477
2015-01-04,Brisbane,Hard,3,R16,Martin Klizan,Alexandr Dolgopolov,0.4694,0.4428,0.45344000000000007,0.476
2015-01-04,Brisbane,Hard,3,QF,Roger Federer,James Duckworth,0.6047,0.5528,0.57356,0.5241
2015-01-05,Chennai,Hard,3,R32,Aljaz Bedene,Lukas Lacko,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Tatsuma Ito,Ramkumar Ramanathan,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Guillermo Garcia Lopez,Evgeny Donskoy,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Peter Gojowczyk,Alejandro Falla,0.5,0.493,0.4958,0.5
2015-01-05,Doha,Hard,3,R32,Sergiy Stakhovsky,Jabor Al Mutawa,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Yen Hsun Lu,Somdev Devvarman,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Ricardas Berankis,Luca Vanni,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Jiri Vesely,N Vijay Sundar Prashanth,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Gilles Muller,Edouard Roger-Vasselin,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Elias Ymer,Igor Sijsling,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Borna Coric,Robin Haase,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R32,Andreas Haider Maurer,Marcel Granollers,0.5,0.493,0.4958,0.5
2015-01-05,Chennai,Hard,3,R16,Stan Wawrinka,Borna Coric,0.5214,0.4778,0.49524,0.477
2015-01-05,Chennai,Hard,3,QF,Stan Wawrinka,Gilles Muller,0.5658,0.51,0.53232,0.5011
2015-01-05,Chennai,Hard,3,R16,David Goffin,Ricardas Berankis,0.5188,0.4842,0.49804000000000004,0.477
2015-01-05,Chennai,Hard,3,R16,Gilles Muller,Elias Ymer,0.5508,0.493,0.51612,0.477
2015-01-05,Chennai,Hard,3,SF,Aljaz Bedene,Roberto Bautista Agut,0.4581,0.5246,0.498,0.523
2015-01-05,Chennai,Hard,3,SF,Stan Wawrinka,David Goffin,0.5646,0.5702,0.56796,0.523
2015-01-05,Chennai,Hard,3,QF,Aljaz Bedene,Guillermo Garcia Lopez,0.464,0.4626,0.46316,0.522
2015-01-05,Chennai,Hard,3,QF,Roberto Bautista Agut,Yen Hsun Lu,0.5091,0.4778,0.49032,0.4551
2015-01-05,Chennai,Hard,3,F,Stan Wawrinka,Aljaz Bedene,0.5875,0.5866,0.58696,0.502
2015-01-05,Chennai,Hard,3,R16,Aljaz Bedene,Feliciano Lopez,0.4724,0.518,0.49976000000000004,0.544
