sofascore_event_id,tourney_date,surface,winner_name,loser_name,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced
15327196,2026-01-17,Hard,Jakub Mensik,Sebastian Baez,18,3,67,41,39,9,1.0,2.0,2,3,65,52,35,6,3.0,5.0
15327353,2026-01-17,Hard,Tomas Machac,Ugo Humbert,5,1,98,67,49,18,3.0,4.0,8,3,97,60,45,15,8.0,12.0
15372346,2026-01-18,Hard,Francisco Comesana,Patrick Kypson,20,5,98,56,47,25,1.0,2.0,12,7,111,63,51,17,6.0,10.0
15372354,2026-01-18,Hard,Tomas Martin Etcheverry,Miomir Kecmanovic,20,5,120,76,66,26,4.0,6.0,8,4,164,104,73,29,13.0,17.0
15372346,2026-01-18,Hard,Francisco Comesana,Patrick Kypson,20,5,98,56,47,25,1.0,2.0,12,7,111,63,51,17,6.0,10.0
15372353,2026-01-18,Hard,Francisco Cerundolo,Zhizhen Zhang,7,2,85,55,44,20,0.0,2.0,8,1,99,66,42,14,6.0,10.0
15372352,2026-01-18,Hard,Emilio Nava,Kyrian Jacquet,27,6,159,110,87,28,5.0,8.0,19,6,179,103,79,40,6.0,11.0
15372361,2026-01-18,Hard,Alexander Zverev,Gabriel Diallo,15,1,98,73,61,14,1.0,2.0,10,5,112,81,57,12,2.0,8.0
15372359,2026-01-18,Hard,Marton Fucsovics,Camilo Ugo Carabelli,1,5,91,52,37,20,2.0,5.0,1,4,93,56,28,17,5.0,12.0
15373169,2026-01-18,Hard,Damir Dzumhur,Liam Draxl,6,4,90,53,39,22,6.0,8.0,5,4,97,52,33,17,5.0,12.0
15383833,2026-01-18,Hard,Jaime Faria,Alexander Blockx,5,2,114,64,46,30,3.0,5.0,8,2,100,56,44,23,4.0,8.0
15373170,2026-01-18,Hard,Frances Tiafoe,Jason Kubler,23,5,108,64,50,22,5.0,6.0,9,3,81,59,41,10,2.0,6.0
15372356,2026-01-18,Hard,Cameron Norrie,Benjamin Bonzi,16,3,170,110,72,38,16.0,18.0,9,4,136,79,53,34,7.0,13.0
15372339,2026-01-18,Hard,Alexander Bublik,Jenson Brooksby,13,4,94,69,51,12,7.0,8.0,4,1,97,61,38,20,7.0,11.0
15372343,2026-01-18,Hard,Carlos Alcaraz,Adam Walton,8,1,83,59,45,16,0.0,1.0,4,4,91,68,41,10,6.0,10.0
15373173,2026-01-18,Hard,Michael Zheng,Sebastian Korda,4,0,174,115,79,34,6.0,7.0,22,5,142,89,71,31,4.0,8.0
15373171,2026-01-18,Hard,Arthur Fery,Flavio Cobolli,6,0,85,61,42,13,3.0,6.0,7,8,83,50,31,11,4.0,10.0
15373174,2026-01-18,Hard,Yannick Hanfmann,Zachary Svajda,19,2,125,75,58,29,4.0,8.0,11,8,143,102,69,18,4.0,9.0
15372343,2026-01-18,Hard,Carlos Alcaraz,Adam Walton,8,1,83,59,45,16,0.0,1.0,4,4,91,68,41,10,6.0,10.0
15372354,2026-01-18,Hard,Tomas Martin Etcheverry,Miomir Kecmanovic,20,5,120,76,66,26,4.0,6.0,8,4,164,104,73,29,13.0,17.0
15372359,2026-01-18,Hard,Marton Fucsovics,Camilo Ugo Carabelli,1,5,91,52,37,20,2.0,5.0,1,4,93,56,28,17,5.0,12.0
15373173,2026-01-18,Hard,Michael Zheng,Sebastian Korda,4,0,174,115,79,34,6.0,7.0,22,5,142,89,71,31,4.0,8.0
15383833,2026-01-18,Hard,Jaime Faria,Alexander Blockx,5,2,114,64,46,30,3.0,5.0,8,2,100,56,44,23,4.0,8.0
15373171,2026-01-18,Hard,Arthur Fery,Flavio Cobolli,6,0,85,61,42,13,3.0,6.0,7,8,83,50,31,11,4.0,10.0
15372342,2026-01-18,Hard,Corentin Moutet,Tristan Schoolkate,6,4,104,61,45,25,6.0,8.0,8,4,95,56,38,16,4.0,8.0
15372356,2026-01-18,Hard,Cameron Norrie,Benjamin Bonzi,16,3,170,110,72,38,16.0,18.0,9,4,136,79,53,34,7.0,13.0
15372352,2026-01-18,Hard,Emilio Nava,Kyrian Jacquet,27,6,159,110,87,28,5.0,8.0,19,6,179,103,79,40,6.0,11.0
15373170,2026-01-18,Hard,Frances Tiafoe,Jason Kubler,23,5,108,64,50,22,5.0,6.0,9,3,81,59,41,10,2.0,6.0
