tourney_date,tourney_name,surface,best_of,round,winner_name,loser_name,elo_winner,elo_loser,comp_win_prob,elo_win_prob
2010-01-04,Auckland,Hard,3,R32,Flavia Pennetta,Jill Craybas,1500.0,1500.0,0.5,0.5
2010-01-04,Auckland,Hard,3,R32,Sania Mirza,Stefanie Voegele,1500.0,1500.0,0.5,0.5
2010-01-04,Auckland,Hard,3,F,Yanina Wickmayer,Flavia Pennetta,1500.0,1516.0,0.3948,0.477
2010-01-04,Auckland,Hard,3,SF,Yanina Wickmayer,Shahar Peer,1516.7,1500.0,0.5957,0.5241
2010-01-04,Auckland,Hard,3,SF,Flavia Pennetta,Francesca Schiavone,1499.3,1500.0,0.5878,0.4989
2010-01-04,Auckland,Hard,3,QF,Shahar Peer,Maria Kirilenko,1484.8,1500.0,0.5518,0.4781
2010-01-04,Auckland,Hard,3,QF,Yanina Wickmayer,Kimiko Date Krumm,1532.0,1500.0,0.6108,0.5459
2010-01-04,Auckland,Hard,3,QF,Francesca Schiavone,Alize Cornet,1484.0,1500.0,0.5639,0.4769
2010-01-04,Auckland,Hard,3,QF,Flavia Pennetta,Dominika Cibulkova,1515.3,1500.0,0.6033,0.522
2010-01-04,Auckland,Hard,3,R16,Maria Kirilenko,Kaia Kanepi,1483.3,1500.0,0.5242,0.476
2010-01-04,Auckland,Hard,3,R16,Yanina Wickmayer,Raluca Olaru,1546.5,1500.0,0.6258,0.5665
2010-01-04,Auckland,Hard,3,R16,Kimiko Date Krumm,Virginie Razzano,1485.5,1500.0,0.5162,0.4791
2010-01-04,Auckland,Hard,3,R16,Alize Cornet,Elena Vesnina,1483.3,1500.0,0.5346,0.4759
2010-01-04,Auckland,Hard,3,R16,Dominika Cibulkova,Aravane Rezai,1484.7,1500.0,0.5537,0.478
2010-01-04,Brisbane,Hard,3,R16,Andrea Petkovic,Vania King,1500.0,1500.0,0.5,0.5
2010-01-04,Auckland,Hard,3,R16,Flavia Pennetta,Carla Suarez Navarro,1530.6,1500.0,0.62,0.5439
2010-01-04,Auckland,Hard,3,R32,Maria Kirilenko,Tatjana Maria,1500.1,1500.0,0.5401,0.5001
2010-01-04,Auckland,Hard,3,R32,Kaia Kanepi,Na Li,1483.2,1500.0,0.5268,0.4759
2010-01-04,Auckland,Hard,3,R32,Aravane Rezai,Julie Coin,1483.3,1500.0,0.5579,0.476
2010-01-04,Auckland,Hard,3,R32,Francesca Schiavone,Stephanie Cohen Aloro,1500.7,1500.0,0.5794,0.501
2010-01-04,Auckland,Hard,3,R32,Alize Cornet,Marina Erakovic,1500.0,1500.0,0.551,0.5
2010-01-04,Auckland,Hard,3,R32,Elena Vesnina,Alberta Brianti,1483.2,1500.0,0.5553,0.4759
2010-01-04,Auckland,Hard,3,R32,Virginie Razzano,Monica Niculescu,1483.3,1500.0,0.5623,0.476
2010-01-04,Auckland,Hard,3,R32,Dominika Cibulkova,Alexandra Dulgheru,1501.4,1500.0,0.5692,0.502
2010-01-04,Auckland,Hard,3,R32,Raluca Olaru,Elena Baltacha,1486.1,1500.0,0.5175,0.48
2010-01-04,Auckland,Hard,3,R32,Yanina Wickmayer,Julia Goerges,1560.4,1500.0,0.6387,0.586
2010-01-04,Auckland,Hard,3,R32,Magdalena Rybarikova,Anabel Medina Garrigues,1500.0,1500.0,0.5,0.5
2010-01-04,Auckland,Hard,3,R32,Shahar Peer,Polona Hercog,1501.5,1500.0,0.5676,0.5021
2010-01-04,Auckland,Hard,3,R32,Kimiko Date Krumm,Anna Chakvetadze,1502.1,1500.0,0.5322,0.5031
2010-01-04,Auckland,Hard,3,R16,Shahar Peer,Magdalena Rybarikova,1517.4,1516.0,0.5138,0.502
2010-01-04,Brisbane,Hard,3,F,Kim Clijsters,Justine Henin,1500.0,1500.0,0.5,0.5
2010-01-04,Auckland,Hard,3,R16,Francesca Schiavone,Sania Mirza,1516.7,1516.0,0.5483,0.501
2010-01-04,Auckland,Hard,3,R32,Carla Suarez Navarro,Edina Gallovits Hall,1485.4,1500.0,0.55,0.479
2010-01-04,Brisbane,Hard,3,SF,Justine Henin,Ana Ivanovic,1484.0,1500.0,0.4775,0.477
2010-01-04,Brisbane,Hard,3,QF,Justine Henin,Melinda Czink,1500.7,1500.0,0.4932,0.5011
2010-01-04,Brisbane,Hard,3,QF,Ana Ivanovic,Anastasia Pavlyuchenkova,1483.3,1500.0,0.5575,0.4759
2010-01-04,Brisbane,Hard,3,QF,Andrea Petkovic,Daniela Hantuchova,1516.0,1500.0,0.563,0.523
